"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Source"
"Khan S.K.; Shiwakoti N.; Stasinopoulos P.; Warren M.","Khan, Shah Khalid (57212381354); Shiwakoti, Nirajan (35489053500); Stasinopoulos, Peter (53985479600); Warren, Matthew (7202137569)","57212381354; 35489053500; 53985479600; 7202137569","Cybersecurity Readiness for Automated Vehicles","2022","Proceedings - 2022 International Conference on Frontiers of Artificial Intelligence and Machine Learning, FAIML 2022","","","","7","12","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144634646&doi=10.1109%2fFAIML57028.2022.00012&partnerID=40&md5=1c557a0593de24fa755a977e721a156e","Autonomous Vehicle (AV) is a rapidly evolving mobility technology with the potential to drastically alter the future of transportation. Despite the plethora of potential benefits that have prompted their eventual introduction, AVs may also be a source of unprecedented disruption for future travel eco-systems due to their vulnerability to cyber-threats. In this context, this work assesses AVs' cybersecurity readiness. It establishes a Causal Loop Diagram (CLD) based on the System Dynamics approach: a powerful technique inferred from system theory, which can synthesise the behaviour of complicated AV systems. Based on the CLD model, three feedback loops and a system archetype 'Fixes-That-Fail' are envisioned, in which the growth in hacker capability, an unforeseen result of technology innovation, demands constant mitigation efforts. The most challenging aspect of this context is determining the trade-off between five components: i) the natural growth of AV technology; ii) stakeholders (communication service providers, road operators, automakers, AV consumers, repairers, and the general public) access to AV technology; iii) the measures to limit hackers' access to AV technology; iv) a pervasive dynamic strategy for circumventing hacker amplification; and v) the efficient usage of AV operating logfiles. © 2022 IEEE.","cyber-attack; cyber-physical system; driverless cars; privacy; ransomware; risk assessment; safety","Cybersecurity; Economic and social effects; Embedded systems; Personal computing; Risk assessment; Autonomous vehicle technologies; Autonomous Vehicles; Causal loop diagrams; Cybe-physical systems; Cyber security; Cyber-attacks; Cyber-physical systems; Driverless cars; Privacy; Risks assessments; Malware","Conference paper","Final","Scopus"
"Toro-Jarrin M.A.; Pazos-Lago P.; Padilla M.","Toro-Jarrin, Miguel A. (57160431400); Pazos-Lago, Pilar (56822141500); Padilla, Miguel (57873075600)","57160431400; 56822141500; 57873075600","Precursors of Email Response to Cybersecurity Scenarios: Factor Exploration and Scale Development","2022","IISE Annual Conference and Expo 2022","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137174344&partnerID=40&md5=f985aecb84927a1bf6e00f551b38df67","In the last decade, information security research has further expanded to include human factors as key elements of the organization's cybersecurity infrastructure. Numerous factors from several theories have been explored to explain and predict the multitude of information security-related behaviors in organizations. Lately, there has been a call for the study of specific cybersecurity behaviors in contextualized scenarios that reflect specific and realistic situations of a potential cyber-attack. This paper focuses on precursors of email response in situations that can be the origin of cybersecurity incidents in organizations (i.e., phishing attacks, ransomware, etc.). This study explores participants' intentions to follow recommendations related to personal information handling when using email at work, attitudes towards and subjective norms relative those recommendations, and anticipated regret for ignoring secure recommendations. To capture the proposed factors, this study develops and tests a survey-based measurement. This paper describes the approach to item formulation, survey administration, pretesting, and analysis of the instrument's preliminary psychometric properties along with preliminary evidence of predictors of compliance with information security recommendations. The developed measurement will be instrumental in future research to test the predictive capability of the factors explored in this study. © 2022 IISE Annual Conference and Expo 2022. All rights reserved.","Compliance; factor exploration; information security behavior; personal information; scale development","Electronic mail; Malware; Surveys; Compliance; Cyber security; Cyber-attacks; Factor exploration; Information security behaviours; Key elements; Personal information; Phishing attacks; Scale development; Security research; Cybersecurity","Conference paper","Final","Scopus"
"Chethana C.; Pareek P.K.; Costa De Albuquerque V.H.; Khanna A.; Gupta D.","Chethana, C. (57215537427); Pareek, Piyush Kumar (57209685449); Costa De Albuquerque, Victor Hugo (57216447127); Khanna, Ashish (34968180100); Gupta, Deepak (56985108600)","57215537427; 57209685449; 57216447127; 34968180100; 56985108600","Improved Domain Generation Algorithm To Detect Cyber-Attack With Deep Learning Techniques","2022","MysuruCon 2022 - 2022 IEEE 2nd Mysore Sub Section International Conference","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145357696&doi=10.1109%2fMysuruCon55714.2022.9972526&partnerID=40&md5=540f5c0347cdbe8ec190872606faf41f","Deep learning is a subfield of machine learning (ML) that focuses on the development of artificial intelligence. It is also often referred to by its acronym, DL (AI). This technique lays an emphasis on the use of big capacity, scalable models that are able to construct distributed representations depending on the input data set. This proposed illustrates the generalizability of these methods and the usage of them in a broad range of cyber security investigations that are peculiar to their environment. The neural network models have been continuously refined and extended during the whole of this research in order to achieve greater adaptability. The following is a list of the important contributions that this proposed makes, in order from most significant to least significant: Work is currently being done to create a comprehensive database for the identification of domain names that have been generated by a domain generation algorithm (DGA), as well as a one-of-a-kind architecture that will increase the overall effectiveness of DGA domain name detection. Both of these will help increase overall efficiency. The creation of a hybrid intrusion detection warning system that is founded on a deep neural network (DNN) and that has the capability to monitor network and host-level activities inside an Ethernet local area network (LAN) (LAN). The examination of information gathered from social media platforms, electronic mail (email), and uniform resource locators in order to design a unified, DL-based framework for the detection of spam and phishing (URL). The creation of a technique based on DL for the study of secure shell (SSH) traffic, the categorization of application network traffic, the classification of malicious traffic, and the detection of harmful traffic is being worked on. The name of the new framework that has been suggested, which is called ScaleMalNet, reflects how hybrid and scalable it is. In the first stage, the executables file is classified as malware or genuine by using static and dynamic analysis. In the second stage, the malicious executables le are grouped into corresponding malware families. This is a two-step process. For the aim of conducting investigations into Android ransomware and malware, an analogous hybrid DL framework is now in the process of being developed. This framework is better in its capacity to detect dangerous software and ransomware on Android when compared to the typical ML-based techniques that are presently in use. These approaches are already in widespread usage. The development of a framework for DNS-based botnet detection and DL-based network intrusion detection is now being worked on in the context of the Internet of things (IoT) and smart cities © 2022 IEEE.","Artificial Intelligence; Deep Learning; Local Area Network; Secure Shell","Android (operating system); Cybersecurity; Deep neural networks; Electronic mail; Intrusion detection; Learning algorithms; Learning systems; Local area networks; Mobile security; Network architecture; Network security; Capacity scalable; Cyber-attacks; Deep learning; Domain names; Generation algorithm; Learning techniques; Machine-learning; Malwares; Secure shell; Subfields; Malware","Conference paper","Final","Scopus"
"Khan A.; Sharma I.","Khan, Aadil (58817337100); Sharma, Ishu (57213777393)","58817337100; 57213777393","Machine Learning-Based Methodology for Preventing Ransomware Attacks on Healthcare Sector","2023","2023 IEEE International Conference on Research Methodologies in Knowledge Management, Artificial Intelligence and Telecommunication Engineering, RMKMATE 2023","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183551205&doi=10.1109%2fRMKMATE59243.2023.10368971&partnerID=40&md5=cb6e70777085b243901a93296c1b6c54","There is a big concern about security in health care organizations, to protect the important documents of patients, doctors, staff of the organizations and many more other information. In this current scenario where attacks have become common, proposing a new technology has become crucial concern. As Machine Learning is emerging in providing smart solutions in numerous applications and these techniques are also beneficial for network administrators to protect network infrastructure from multiple cyber-attacks at early stage. This research paper proposes a model to shield the hospital web server from directly receiving malicious packets. A dedicated machine learning trained server is suggested to be utilized in the health care network so that only authenticated data packet is transmitted inside the hospital network. Here in the paper Machine Learning approaches are used to identify malware, and among these techniques Random Forest proves to be the best algorithm for the early prediction of ransomware attacks. The dataset for training and testing machine learning model is taken from Canadian institute for Cybersecurity where data is pre-processed so, different validation code has been introduced like k-fold validation, confusion matrix, and Receiver Operating Characteristic Area Under the Curve to get a more rectify comparative analysis. © 2023 IEEE.","Health Care; Logistic Regression; Machine Learning; Random Forest; Ransomware Detection; Support Vector Machine; Threats","","Conference paper","Final","Scopus"
"Baseskioglu M.O.; Tepecik A.","Baseskioglu, Mehmet Ozer (57250982000); Tepecik, Abdulkadir (24072039600)","57250982000; 24072039600","Cybersecurity, Computer Networks Phishing, Malware, Ransomware, and Social Engineering Anti-Piracy Reviews","2021","HORA 2021 - 3rd International Congress on Human-Computer Interaction, Optimization and Robotic Applications, Proceedings","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114519765&doi=10.1109%2fHORA52670.2021.9461272&partnerID=40&md5=40091e991ba93a056f91811e4b07aa2e","With the rapid development of technology, connection to the internet is an indispensable element of life. With the Covid-19 Pandemic outbreak, online education with a computer and tablet mobile phone has become mandatory due to the remote training. The security of these tools used for connectivity has become critical. In this process, online shopping from homes has increased considerably. Due to this use among users for the first time and due to fast service, security vulnerabilities expose users to a difficult situation and cyberbullying. The fact that the devices are on the internet as wired or wireless makes it inevitable that they are vulnerable. The exposure of such devices in your home to cyberattacks means a violation of your privacy, along with many of your personal data. Nowadays, even the fine details of such technologies are trying to steal personal data by using the need to believe, such as phone fraud or pandemic vaccines. It is becoming increasingly important to inform end users of internet technology and security weaknesses in this field and to create awareness. If these are increased, the number of people exposed to cyber attacks will decrease. The first method for this is to reach these people and education  © 2021 IEEE.","Cyber Attacks; Cyber Vulnerability; Information Security Introduction; Information Systems","Agricultural robots; Crime; Distance education; Human computer interaction; Information dissemination; Network security; Privacy by design; Robotics; Telephone sets; Internet technology; Number of peoples; On-line education; Online shopping; Remote training; Security vulnerabilities; Security weakness; Social engineering; Malware","Conference paper","Final","Scopus"
"Salviotti G.; De Rossi L.M.; Abbatemarco N.; Bjoernland K.","Salviotti, Gianluca (57205726192); De Rossi, Leonardo Maria (57205728073); Abbatemarco, Nico (57205725910); Bjoernland, Kaia (58177481700)","57205726192; 57205728073; 57205725910; 58177481700","Understanding the Role of Leadership Competencies in Cyber Crisis Management: A Case Study","2023","Proceedings of the Annual Hawaii International Conference on System Sciences","2023-January","","","6068","6077","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152133462&partnerID=40&md5=3f93c29d1f3b3b9a71ad51e809c57a70","The amount and severity of cyber-attacks has been constantly increasing in recent years, and the number of cyber-related organizational crises grew accordingly. Despite the relevance of the topic, the literature on the subject is still limited, especially from a non-technical point of view. In the context of leadership, traditional crisis management literature identified specific competencies that organizations can leverage to mitigate the effects of a crisis, but there is a research gap as to whether or not these capabilities make sense in a cyber crisis context. This study aims to bridge this gap by analyzing the case of Norsk Hydro - a Norwegian company that in 2019 fell victim of a disruptive ransomware attack - through the lenses of a traditional crisis leadership model. © 2023 IEEE Computer Society. All rights reserved.","Crisis Leadership; Crisis Management; Cyber Risk; Cybersecurity; Organizational Crisis","Malware; Network security; Case-studies; Crisis leadership; Crisis management; Cybe risk; Cyber security; Cyber-attacks; Norsk hydros; Organisational; Organizational crisis; Research gaps; Cybersecurity","Conference paper","Final","Scopus"
"Alsaidi R.A.M.; Yafooz W.M.S.; Alolofi H.; Taufiq-Hail G.A.-M.; Emara A.-H.M.; Abdel-Wahab A.","Alsaidi, Ramadhan A. M. (55658310500); Yafooz, Wael M. S. (36648204000); Alolofi, Hashem (58001273900); Taufiq-Hail, Ghilan Al-Madhagy (57222239861); Emara, Abdel-Hamid M. (57203994679); Abdel-Wahab, Ahmed (58001057600)","55658310500; 36648204000; 58001273900; 57222239861; 57203994679; 58001057600","Ransomware Detection using Machine and Deep Learning Approaches","2022","International Journal of Advanced Computer Science and Applications","13","11","","112","119","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143748072&doi=10.14569%2fIJACSA.2022.0131112&partnerID=40&md5=03d34f5f5308431ac87def0d96818205","Due to the advancement and easy accessibility to computer and internet technology, network security has become vulnerable to hacker threats. Ransomware is a frequently used malware in cyber-attacks to trick the victim users to expose sensitive and private information to the attackers. Consequently, victims may not be able to access their data any longer until they pay a ransom for stolen files or data. Different methods have been introduced to overcome these issues. It is evident through an extensive literature review that some lexical features are not always sufficient to detect categories of malicious URLs. This paper proposes a model to detect Ransomware using machine and deep learning approaches. This model was introduced as a novel feature for classification using the idea that starts with “https://www.” This feature was not considered in the earlier papers on malicious URLs identification. In addition, this paper introduced a novel dataset that consists of 405,836 records. Two main experiments were carried out utilizing malicious URL features to defend Ransomware using the proposed dataset. Moreover, to enhance and optimize the experimental accuracy, various hyper-parameters were tested on the same dataset to define the optimal factors of every method. According to the comparative and experimental results of the applied classification techniques, the proposed model achieved the best performance at 99.8% accuracy rate for detecting malicious URLs using machine and deep learning. © 2022,International Journal of Advanced Computer Science and Applications. All Rights Reserved.","Deep learning; Machine learning; Malicious urls; Ransomware; Url classification","Cybersecurity; Deep learning; HTTP; Learning systems; Network security; Personal computing; Computer technology; Deep learning; Internet technology; Learning approach; Machine-learning; Malicious url; Malwares; Networks security; Technology network; Url classification; Malware","Article","Final","Scopus"
"Sonawane H.S.; Deshmukh S.; Joy V.; Hadsul D.","Sonawane, Hritesh Sharad (57874878500); Deshmukh, Sanika (57874791700); Joy, Vinay (57874581400); Hadsul, Dhanashree (57218213552)","57874878500; 57874791700; 57874581400; 57218213552","Torsion: Web Reconnaissance using Open Source Intelligence","2022","2022 2nd International Conference on Intelligent Technologies, CONIT 2022","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137272660&doi=10.1109%2fCONIT55038.2022.9848337&partnerID=40&md5=53d3f30afbb6519c49b3f5f1410b828a","Internet technology has made surveillance widespread and access to resources at greater ease than ever before. This implied boon has countless advantages. It however makes protecting privacy more challenging for the greater masses, and for the few hacktivists, supplies anonymity. The ever-increasing frequency and scale of cyber-attacks has not only crippled private organizations but has also left Law Enforcement Agencies(LEA's) in a fix: as data depicts a surge in cases relating to cyber-bullying, ransomware attacks; and the force not having adequate manpower to tackle such cases on a more microscopic level. The need is for a tool, an automated assistant which will help the security officers cut down precious time needed in the very first phase of information gathering: reconnaissance. Confronting the surface web along with the deep and dark web is not only a tedious job but which requires documenting the digital footprint of the perpetrator and identifying any Indicators of Compromise(IOC's). TORSION which automates web reconnaissance using the Open Source Intelligence paradigm, extracts the metadata from popular indexed social sites and un-indexed dark web onion sites, provided it has some relating Intel on the target. TORSION's workflow allows account matching from various top indexed sites, generating a dossier on the target, and exporting the collected metadata to a PDF file which can later be referenced. © 2022 IEEE.","metadata; onion sites; OSINT; privacy; reconnaissance; TORSION","Cybersecurity; Malware; Metadata; Network security; Access to resources; Cyber-attacks; Dark web; Internet technology; Onion site; Open source intelligence; OSINT; Privacy; Private organizations; Reconnaissance; Torsional stress","Conference paper","Final","Scopus"
"Arnold D.; David C.; Saniie J.","Arnold, David (57211157475); David, Charlotte (57806818300); Saniie, Jafar (7004038692)","57211157475; 57806818300; 7004038692","PowerShell Malware Analysis Using a Novel Malware Rating System","2022","IEEE International Conference on Electro Information Technology","2022-May","","","182","187","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134312185&doi=10.1109%2feIT53891.2022.9813771&partnerID=40&md5=35d0b977f0eeaef82ce2ea4a2d1e2902","Recent high-profile cyberattacks highlight an increased use of social engineering attacks and ransomware by hackers worldwide. These attacks target human operators directly, bypassing many of the cyber-safeguards developed through years of malware analysis. In response to these challenges, many organizations have turned to white-hat hackers and penetration testing to identify potential weaknesses and reinforce cyber-safety protocols. To assist in the threat evaluation process, malware rating systems are often used to highlight the danger and potential damage malware may cause. Current malware rating systems focus on assigning a danger score for malware based on its ability to move throughout the network, damage system resources, and evade detection. Due to the increased reliance on social engineering, a new malware rating system is proposed that incorporates malware deceitfulness as a means to trick human operators. The novel rating system will score malware based on its Stealth, Ease of Creation, Deceitfulness, Versatility, Instantaneousness, and Persistence. This system provides operators with insight into each key characteristics as opposed to a single value. To showcase the malware evaluation process, different PowerShell Reverse Bind Shell malwares are rated based on the proposed criteria.  © 2022 IEEE.","","Cybersecurity; Damage detection; Personal computing; Safety testing; Attack target; Cyber-attacks; Cyber-safety; Human operator; Malware analysis; Malwares; Penetration testing; Rating system; Safety protocols; Social engineering; Malware","Conference paper","Final","Scopus"
"Kumar M.; Kim C.; Son Y.; Singh S.K.; Kim S.","Kumar, Manish (57204637862); Kim, Changjong (57991601600); Son, Yongseok (55838113000); Singh, Sushil Kumar (58833216300); Kim, Sunggon (57210112452)","57204637862; 57991601600; 55838113000; 58833216300; 57210112452","Empowering Cyberattack Identification in IoHT Networks With Neighborhood Component-based Improvised Long Short-Term Memory","2024","IEEE Internet of Things Journal","","","","1","1","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182928325&doi=10.1109%2fJIOT.2024.3354988&partnerID=40&md5=14c4be19f4f6603aad08fef898adef72","Cybersecurity has become an inevitable concern in the healthcare industry due to the rapid growth of the Internet of Health Things (IoHT). The IoHT is revolutionizing healthcare by enabling remote access to hospital equipment, real-time patient monitoring, and urgent alerts to patients and hospitals. However, the convenience of these systems also makes them vulnerable to cyberattacks, with hackers seeking to disrupt health services or extort money through ransomware attacks. Efficiently detecting multiple threats is a challenging task because IoHT generates large temporal data and system log information. In this paper, we propose time series classification models for the identification of potential cyberattacks in IoHT networks. First, we introduce Neighborhood Component Analysis (NCA) with modifications of the regularization parameter to select the vital input features. With the selected features, we propose two LSTM-based models: Directed Acyclic Graph-based Long Short-Term Memory (DAG-LSTM) and Projected Layer-based Long Short-Term Memory (PL-LSTM) for detecting cyberattacks. We evaluate the existing time series classification models (i.e., GRU, LSTM, and Bi-LSTM) and proposed models (i.e., DAG-LSTM and PL-LSTM) using real-world IoHT data. We also validate the models by applying a non-parametric statistical test, Friedman test. Our evaluation results show that the proposed DAG-LSTM achieves the highest accuracy with 99.89% training and 92.04% an average testing accuracy. IEEE","Analytical models; Computational modeling; Cyberattack; Cyberattacks; Data models; Deep Learning; Friedman test; Internet of Health Things; Logic gates; Long Short Term Memory; Medical services; Neighborhood Component Analysis; Training","Brain; Computation theory; Cybersecurity; Directed graphs; Health care; Hospitals; Long short-term memory; Malware; Patient monitoring; Personal computing; Time series; Acyclic graphs; Computational modelling; Cyber-attacks; Deep learning; Friedman test; Graph-based; Internet of health thing; Medical services; Neighborhood component analysis; Graphic methods","Article","Article in press","Scopus"
"Wazid M.; Kumar Das A.; Shetty S.","Wazid, Mohammad (55480987400); Kumar Das, Ashok (57217042560); Shetty, Sachin (8970891400)","55480987400; 57217042560; 8970891400","BSFR-SH: Blockchain-Enabled Security Framework Against Ransomware Attacks for Smart Healthcare","2023","IEEE Transactions on Consumer Electronics","69","1","","18","28","10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139453485&doi=10.1109%2fTCE.2022.3208795&partnerID=40&md5=6483df03afc87524f9837ee5047f705b","Ransomware is a type of malicious program or software that encrypts the contents on a hard disc and prevents the users from accessing them unless they pay an amount (called a ransom). Most of the organizations, such as financial institutes and healthcare sectors (i.e., smart healthcare) are targeted by ransomware attacks. Ransomware assaults are among the most frightening types of cyber-attacks, and they are not confined to a specific sector or the countries. Blockchain is a tamper-proof technology, which is more secure, robust and decentralized in nature. Features of blockchain can add more security for detection and mitigation of ransomware more effectively. In this paper, we propose a new blockchain-enabled security framework to detect and defend the ransomware attacks for smart healthcare (in short, BSFR-SH). The conducted security analysis proves the security of the proposed BSFR-SH against the ransomware attacks. The performance of BSFR-SH is significantly better than the other similar existing mechanisms as it achieves better accuracy and F1-score than other compared mechanisms. Furthermore, the practical demonstration of BSFR-SH is provided to estimate the impact on important performance parameters.  © 1975-2011 IEEE.","blockchain; intrusion detection; machine learning; Ransomware; smart healthcare","Blockchain; E-learning; Electronic mail; Health care; Intrusion detection; Learning systems; Machine learning; Malware; Network security; Block-chain; Hard disc; Intrusion-Detection; Machine-learning; Malwares; Medical services; Security; Security frameworks; Smart healthcare; Cybersecurity","Article","Final","Scopus"
"Hu H.; Liu Y.; Chen C.; Zhang H.; Liu Y.","Hu, Hao (56784727600); Liu, Yuling (36071900900); Chen, Chen (55664378400); Zhang, Hongqi (37007258200); Liu, Yi (57188732681)","56784727600; 36071900900; 55664378400; 37007258200; 57188732681","Optimal Decision Making Approach for Cyber Security Defense Using Evolutionary Game","2020","IEEE Transactions on Network and Service Management","17","3","9096400","1683","1700","17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085763728&doi=10.1109%2fTNSM.2020.2995713&partnerID=40&md5=3255cb25feb65d1e6303e06167cbc81d","At present, there are many techniques for cyber security defense such as firewall, intrusion detection and cryptography. Despite decades of studies and experiences on this issue, there still exists a problem that we always pay great attention to technology while overlooking strategy. In the traditional warfare, the level of decision-making and the formulation of optimal strategies have a great effect on the warfare result. Similarly, the timeliness and quality of decision-making in cyber attack-defense also make great significance. Since the attackers and defenders are oppositional, the selection of optimal defense strategy with the maximum payoff is difficult. To solve this problem, the stochastic evolutionary game model is utilized to simulate the dynamic adversary of cyber attack-defense. We add the parameter \lambda to the Logit Quantal Response Dynamics (LQRD) equation to quantify the cognitive differences of real-world players. By calculating the evolutionary stable equilibrium, the best decision-making approach is proposed, which makes a balance between defense cost and benefit. Cases studies on ransomware indicate that the proposed approach can help the defender predict possible attack action, select the related optimal defense strategy over time, and gain the maximum defense payoff.  © 2004-2012 IEEE.","attack-defense; Cybersecurity; decision making; evolutionary game; LQRD; optimal defense strategy","Crime; Decision making; Intrusion detection; Malware; Stochastic models; Stochastic systems; Cyber security; Defense strategy; Evolutionary game models; Evolutionary games; Optimal decision making; Optimal strategies; Quantal response; Stable equilibrium; Network security","Article","Final","Scopus"
"Su Y.; Ahn B.; Alvee S.R.B.; Kim T.; Choi J.; Smith S.C.","Su, Ying (57461351000); Ahn, Bohyun (57222615791); Alvee, Syed R. B. (57461778900); Kim, Taesic (23021764300); Choi, Jinchun (57209910701); Smith, Scott C. (57202351317)","57461351000; 57222615791; 57461778900; 23021764300; 57209910701; 57202351317","Ransomware Security Threat Modeling for Photovoltaic Systems","2021","2021 6th IEEE Workshop on the Electronic Grid, eGRID 2021","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125013856&doi=10.1109%2feGRID52793.2021.9662163&partnerID=40&md5=ebf9188cce6e9636662a2e4c8aef57f5","Ransomware attacks are one of the most dangerous cyber-Attacks which can disrupt the operation of photovoltaic (PV) systems and incur an enormous economic loss. This paper introduces a ransomware security threat modeling method that identifies potential vulnerabilities, threats, and impacts of ransomware attacks targeting a PV system. The security threat modeling consists of three steps: 1) system identification, 2) threat modeling that finds existing vulnerabilities, 3) attack modeling that designs attack profiles to succeed ransomware attacks, and 4) penetration testing that performs authorized cyber-Attacks and analyzes impacts of the ransomware attack profiles using a real-Time hardware-in-The-loop (HIL) PV system security testbed.  © 2021 IEEE.","attack modeling; cybersecurity; penetration testing; photovoltaic (PV) systems; ransomware; threat modeling","Crime; Cyber attacks; Losses; Malware; Network security; Security systems; 1-systems; Attack modeling; Cyber security; Cyber-attacks; Economic loss; Model method; Penetration testing; Photovoltaic systems; Security threat modeling; Threat modeling; Solar cells","Conference paper","Final","Scopus"
"Tekin U.; Yilmaz E.N.","Tekin, Ugur (57422731000); Yilmaz, Ercan Nurcan (56469924100)","57422731000; 56469924100","Obtaining Cyber Threat Intelligence Data from Twitter with Deep Learning Methods","2021","ISMSIT 2021 - 5th International Symposium on Multidisciplinary Studies and Innovative Technologies, Proceedings","","","","82","86","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123313895&doi=10.1109%2fISMSIT52890.2021.9604715&partnerID=40&md5=c013636baa46e7cb91711528bcffd472","With the increasing number of cyber attacks, cyber security has become an increasing concern for every institution/organization. Every small or large institution/organization takes precautions and invests in cyber threats. Firewalls, intrusion detection/prevention systems, antivirus, data loss prevention software, etc., are used within the scope of ensuring cyber security and preventing threats. In order to detect cyber threats, the records obtained from these devices/applications are sent to SIEM applications. It is of great importance to use cyber threat intelligence data in these devices and applications in order to accurately detect cyber threats. As hard as it is to win a war without intelligence, it is also very difficult to provide effective cyber security without cyber threat intelligence. Cyber threat intelligence can be provided by commercial software as well as from open source platforms. In this study, deep learning models were used to process the cyber security data obtained from Twitter. With recursive neural networks, the tweets in the data set are related to cyber threat intelligence, then the cyber threat intelligence (DDoS, malware, ransomware, etc.) is classified. As a result of the study, 88.64% success was achieved in terms of whether cyber threat intelligence is relevant or not, and 89.49% success was achieved in classifying the type of threat intelligence.  © 2021 IEEE.","Cyber Threat Intelligence (CTI); Deep Learning; Natural Language Processing; Open Source Intelligence; Twitter","Computer system firewalls; Computer viruses; Cybersecurity; Deep learning; Intrusion detection; Natural language processing systems; Network security; Neural networks; Open source software; Open systems; Anti virus; Cybe threat intelligence; Cyber security; Cyber threats; Data loss; Deep learning; Device application; Intrusion detection/prevention systems; Learning methods; Open source intelligence; Social networking (online)","Conference paper","Final","Scopus"
"Thamer N.; Alubady R.","Thamer, Noor (57223980270); Alubady, Raaid (56532483900)","57223980270; 56532483900","A Survey of Ransomware Attacks for Healthcare Systems: Risks, Challenges, Solutions and Opportunity of Research","2021","1st Babylon International Conference on Information Technology and Science 2021, BICITS 2021","","","","210","216","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124875771&doi=10.1109%2fBICITS51482.2021.9509877&partnerID=40&md5=a4a0e845839bd88f98d6a77de0ddc821","Healthcare is one of the most vulnerable sectors of cyber-attacks. As it continues to expand exponentially and moves to digitally-enabled healthcare services, cyber-criminals are trying to take advantage of the weaknesses and security vulnerabilities correlated with these shifts. As a result of technical developments, a multitude of highly powerful risks such as Ransomware is facing the healthcare sector. Ransomware is cyber-attack targeting companies and household users and has increased lately due to its productive results. It conflicts have significantly improved over the last few years. The study shows an exhaustive survey on Ransomware attacks and fixes these attacks. The main aim of this study is to classify the solution strategies for Ransomware attacks in healthcare that used to prevent the Ransomware, such as Blockchain technology, Software define network technology, Machine Learning, and other tools as well as to highlight many issues faced by researchers during the process of discovering a way to solve Ransomware attacks in health care systems. In addition, the study will provide scientific benefits to researchers in the field of information security, health institutions, and security companies. © 2021 IEEE","Blockchain; Healthcare system; Machine learning; Ransomware attacks; Security; Software define network","Crime; Cybersecurity; Engineering education; Health care; Machine learning; Malware; Network security; Surveys; Block-chain; Cyber criminals; Healthcare services; Healthcare systems; Ransomware attack; Security; Security vulnerabilities; Software define network; System risk; Technical development; Blockchain","Conference paper","Final","Scopus"
"Mangalraj P.","Mangalraj, P. (56901364700)","56901364700","Implications of machine learning in cyber security","2019","Proceedings - 2019 IEEE/WIC/ACM International Conference on Web Intelligence Workshops,  WI 2019 Companion","","","","142","143","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074360246&doi=10.1145%2f3358695.3360893&partnerID=40&md5=d3cbf4150e67ab5f1c69caa84ae015bf","Cybersecurity is positioned to improve security concerns in cyberspace by utilizing potential algorithms. Cyber networks and platforms are prone to cyber attacks. The recent survey reveals that, 45% of cyber attacks has grew in the last 5 years. Identifying the threats like malware, ransomware and network breach is challenging, since the threats are hetrogenity in nature. Organizations are facing a daunting challenge of dealing with the millions of new attacks a day. Conventional security analysis fails to identify the threats due to the rapid development in new attacks and variants. Cyber Security may be measured and evaluated against multiple threats. While they are not the only method for securing, assessing the vulnerability and information leakage, automating the network security and platform play an integral role in the cyber space. Machine learning is a powerful technique to develop a system, which adapts to the data stream. In order to deal with huge volume of data more efficiently and precisely, machine learning algorithms will be used to distinguish threats and identifying the infected hosts. However, certain intrisic characteristics of machine learning algorithms makes the implementation more challenging. The agenda of the talk will be focused on the mitigation of cyber attacks with the help of machine learning approaches by automation. © 2019 Association for Computing Machinery.","","Crime; Learning algorithms; Machine learning; Malware; Cyber security; Cyber-attacks; Cyberspaces; Data stream; Information leakage; Machine learning approaches; Security analysis; Network security","Conference paper","Final","Scopus"
